response_id,date,customer_id,score,feedback,touchpoint,customer_segment
36,2025-04-22,C26070,6,Good but room for improvement.,Website,Consumer
37,2025-04-10,C49105,7,Meets our basic needs.,Email,Consumer
38,2025-05-13,C36995,10,Exceeded our expectations.,Email,Enterprise
39,2025-04-14,C62589,4,Difficult to use.,Mobile App,Consumer
40,2025-04-04,C90839,9,Outstanding support team.,Website,Consumer
41,2025-04-04,C48233,5,Meets our basic needs.,Email,Consumer
42,2025-04-10,C74484,7,Some features could be better.,Support,Enterprise
43,2025-04-29,C85471,8,Very satisfied with the experience.,Email,SMB
44,2025-05-22,C64420,7,Works as expected.,Support,Consumer
45,2025-05-09,C94600,1,Needs significant improvement.,Mobile App,SMB
46,2025-04-17,C92561,9,Highly recommended!,Mobile App,Consumer
47,2025-05-03,C28815,10,Transformative for our operations.,Support,Enterprise
48,2025-05-12,C61879,1,Disappointed with the service.,Support,SMB
49,2025-05-28,C12419,8,Excellent ROI for our business.,Email,Enterprise
50,2025-04-02,C40999,7,Decent performance.,Website,Consumer
51,2025-05-06,C67150,3,Frequent issues and bugs.,Website,Enterprise
52,2025-05-15,C38272,9,Transformative for our operations.,Website,SMB
53,2025-05-14,C15759,9,Excellent ROI for our business.,Email,Enterprise
54,2025-04-12,C25905,2,Too many problems.,Website,SMB
55,2025-05-08,C52870,10,Great value for money.,Mobile App,SMB
56,2025-05-20,C71830,8,Exceeded our expectations.,Website,Consumer
57,2025-05-31,C83472,3,Would not recommend.,Email,SMB
58,2025-04-06,C76630,10,Exceeded our expectations.,Email,Enterprise
59,2025-05-27,C56615,5,Works as expected.,Support,Enterprise
60,2025-05-13,C55854,1,Poor customer support.,Email,Consumer
61,2025-04-07,C31957,10,Transformative for our operations.,Support,Consumer
62,2025-04-15,C11477,9,Exceeded our expectations.,Email,Consumer
63,2025-05-28,C14340,7,Satisfactory service.,Mobile App,Enterprise
64,2025-05-03,C86897,8,Excellent ROI for our business.,Support,SMB
65,2025-05-21,C98021,8,Very intuitive interface.,Support,Consumer
66,2025-04-16,C46545,1,Poor customer support.,Support,Enterprise
67,2025-05-22,C49935,1,Poor customer support.,Email,Enterprise
68,2025-05-05,C70465,7,Could use some improvements.,Mobile App,Enterprise
69,2025-05-29,C66704,2,Poor customer support.,Mobile App,Consumer
70,2025-04-14,C57776,5,Good but room for improvement.,Email,Enterprise
71,2025-05-30,C69783,9,Best in class solution!,Email,SMB
72,2025-04-29,C93257,9,Highly recommended!,Website,Consumer
73,2025-04-21,C35430,1,Not intuitive enough.,Email,SMB
74,2025-05-10,C46524,6,Good product overall.,Email,Consumer
75,2025-05-20,C28463,6,Average experience.,Mobile App,SMB
76,2025-04-24,C39638,1,Would not recommend.,Email,Enterprise
77,2025-04-28,C34969,9,Very intuitive interface.,Email,SMB
78,2025-04-06,C83367,7,Generally satisfied.,Email,Enterprise
79,2025-04-01,C95116,3,Too many problems.,Email,Consumer
80,2025-05-22,C24828,10,Excellent ROI for our business.,Email,Enterprise
81,2025-04-29,C96331,6,Works as expected.,Mobile App,Consumer
82,2025-05-28,C14242,1,Poor customer support.,Support,Consumer
83,2025-05-31,C39907,1,Not intuitive enough.,Support,SMB
84,2025-05-28,C80889,4,Difficult to use.,Website,SMB
85,2025-04-21,C43481,7,Some features could be better.,Email,SMB
86,2025-04-21,C43697,4,Frequent issues and bugs.,Support,Consumer
87,2025-05-25,C33395,8,Very satisfied with the experience.,Mobile App,Enterprise
88,2025-04-15,C12232,3,Not worth the price.,Support,SMB
89,2025-05-31,C88927,2,Would not recommend.,Email,Enterprise
90,2025-04-08,C61057,7,Average experience.,Mobile App,SMB
91,2025-04-02,C90164,9,Best in class solution!,Mobile App,Enterprise
92,2025-05-25,C68017,9,Best in class solution!,Email,Consumer
93,2025-04-20,C46621,6,Works as expected.,Website,SMB
94,2025-05-02,C30936,7,Good product overall.,Support,SMB
95,2025-05-08,C15757,10,Outstanding support team.,Mobile App,Enterprise
96,2025-05-14,C65007,2,Needs significant improvement.,Support,SMB
97,2025-05-01,C80870,9,Outstanding support team.,Mobile App,Consumer
98,2025-04-02,C48962,3,Frequent issues and bugs.,Website,Enterprise
99,2025-05-29,C77250,8,Very satisfied with the experience.,Mobile App,Consumer
100,2025-04-25,C32196,1,Difficult to use.,Website,Consumer
101,2025-05-23,C31607,10,Very intuitive interface.,Support,Consumer
102,2025-05-06,C12332,5,Could use some improvements.,Support,Enterprise
103,2025-04-06,C57190,2,Difficult to use.,Support,SMB
104,2025-05-16,C74642,2,Not intuitive enough.,Mobile App,Consumer
105,2025-05-19,C27131,3,Too many problems.,Mobile App,Consumer
106,2025-04-01,C43685,9,Outstanding support team.,Mobile App,SMB
107,2025-04-13,C99919,10,Excellent ROI for our business.,Mobile App,Consumer
108,2025-04-27,C21833,1,Would not recommend.,Support,Consumer
109,2025-05-05,C54272,3,Not intuitive enough.,Support,Consumer
110,2025-05-22,C35691,7,Works as expected.,Email,SMB
111,2025-04-22,C20319,1,Disappointed with the service.,Support,Enterprise
112,2025-04-29,C60158,9,Transformative for our operations.,Support,Consumer
113,2025-05-12,C99547,5,Good product overall.,Mobile App,Enterprise
114,2025-05-27,C68263,2,Disappointed with the service.,Mobile App,Enterprise
115,2025-05-02,C21798,3,Difficult to use.,Website,Consumer
116,2025-04-07,C85583,1,Too expensive for what it offers.,Mobile App,SMB
117,2025-05-09,C35189,6,Average experience.,Email,Enterprise
118,2025-05-29,C60094,1,Not worth the price.,Website,Consumer
119,2025-04-24,C69295,8,Very intuitive interface.,Website,Consumer
120,2025-04-23,C35228,7,Could use some improvements.,Website,Consumer
121,2025-05-11,C76409,10,Very intuitive interface.,Website,Enterprise
122,2025-04-02,C31943,4,Frequent issues and bugs.,Website,Consumer
123,2025-04-07,C76188,5,Some features could be better.,Website,SMB
124,2025-05-19,C61289,2,Poor customer support.,Mobile App,Consumer
125,2025-05-03,C90455,7,Some features could be better.,Website,SMB
126,2025-05-24,C72467,4,Difficult to use.,Email,SMB
127,2025-05-22,C73177,5,Could use some improvements.,Mobile App,SMB
128,2025-05-25,C60732,10,Exceeded our expectations.,Support,Enterprise
129,2025-05-18,C13864,3,Disappointed with the service.,Support,SMB
130,2025-04-08,C48022,6,Average experience.,Website,SMB
131,2025-05-09,C50668,4,Difficult to use.,Support,Consumer
132,2025-05-03,C33932,3,Needs significant improvement.,Support,Enterprise
133,2025-05-13,C96667,3,Frequent issues and bugs.,Website,Enterprise
134,2025-05-10,C80060,10,Outstanding support team.,Website,Enterprise
135,2025-04-10,C48134,10,Transformative for our operations.,Website,Consumer
136,2025-05-21,C38712,5,Good but room for improvement.,Mobile App,Consumer
137,2025-05-11,C85030,9,Highly recommended!,Website,SMB
138,2025-05-08,C97335,7,Generally satisfied.,Website,Enterprise
139,2025-04-14,C72267,9,Great value for money.,Email,Consumer
140,2025-05-29,C53358,1,Not intuitive enough.,Website,Consumer
141,2025-05-28,C57406,9,Best in class solution!,Mobile App,SMB
142,2025-05-23,C22457,2,Needs significant improvement.,Email,Consumer
143,2025-05-30,C25810,5,Satisfactory service.,Website,Enterprise
144,2025-04-29,C40345,4,Difficult to use.,Support,SMB
145,2025-04-08,C38913,9,Outstanding support team.,Email,SMB
146,2025-05-07,C73805,4,Not worth the price.,Mobile App,Enterprise
147,2025-05-07,C62523,5,Works as expected.,Website,Enterprise
148,2025-05-14,C87359,3,Not intuitive enough.,Email,Consumer
149,2025-04-28,C72434,1,Needs significant improvement.,Support,SMB
150,2025-04-27,C66292,4,Would not recommend.,Mobile App,Enterprise
151,2025-05-22,C23844,4,Would not recommend.,Website,Enterprise
152,2025-04-08,C67082,3,Frequent issues and bugs.,Support,SMB
153,2025-04-19,C23626,3,Too expensive for what it offers.,Support,Enterprise
154,2025-05-05,C16451,6,Decent performance.,Website,Consumer
155,2025-04-19,C42173,1,Poor customer support.,Mobile App,SMB
156,2025-05-06,C55572,7,Could use some improvements.,Website,Consumer
157,2025-04-11,C29343,2,Needs significant improvement.,Website,SMB
158,2025-05-24,C78407,5,Works as expected.,Website,SMB
159,2025-04-23,C86427,7,Works as expected.,Email,Consumer
160,2025-05-25,C56649,2,Poor customer support.,Website,SMB
161,2025-04-20,C95351,10,Very intuitive interface.,Mobile App,Enterprise
162,2025-04-26,C48624,7,Good product overall.,Email,Consumer
163,2025-04-08,C40339,2,Poor customer support.,Email,Enterprise
164,2025-05-09,C79510,6,Satisfactory service.,Mobile App,Consumer
165,2025-04-19,C14188,10,Very satisfied with the experience.,Support,Consumer
166,2025-04-09,C21131,5,Good but room for improvement.,Mobile App,SMB
167,2025-04-02,C79886,3,Disappointed with the service.,Support,SMB
168,2025-04-21,C43342,4,Disappointed with the service.,Mobile App,SMB
169,2025-04-01,C69570,6,Satisfactory service.,Support,Consumer
170,2025-04-12,C57383,10,Transformative for our operations.,Mobile App,SMB
171,2025-04-04,C71913,2,Disappointed with the service.,Mobile App,Enterprise
172,2025-04-10,C68508,10,Outstanding support team.,Support,SMB
173,2025-04-17,C98092,5,Could use some improvements.,Support,Enterprise
174,2025-05-24,C17185,3,Disappointed with the service.,Mobile App,Enterprise
175,2025-04-01,C70180,6,Satisfactory service.,Support,Enterprise
176,2025-05-02,C64011,2,Would not recommend.,Mobile App,SMB
177,2025-04-19,C11510,7,Good product overall.,Support,Enterprise
178,2025-04-01,C92949,7,Decent performance.,Email,SMB
179,2025-05-17,C22481,4,Poor customer support.,Support,Enterprise
180,2025-05-16,C15541,9,Excellent ROI for our business.,Mobile App,Enterprise
181,2025-04-11,C74540,5,Could use some improvements.,Email,SMB
182,2025-05-08,C60287,7,Good but room for improvement.,Mobile App,SMB
183,2025-04-22,C70250,6,Average experience.,Mobile App,Consumer
184,2025-04-15,C47015,10,Very satisfied with the experience.,Email,SMB
185,2025-05-31,C50307,7,Good but room for improvement.,Mobile App,SMB
186,2025-04-25,C86421,9,Excellent ROI for our business.,Support,Enterprise
187,2025-04-09,C45353,5,Could use some improvements.,Website,SMB
188,2025-04-19,C92503,9,Highly recommended!,Website,Consumer
189,2025-04-12,C94931,8,Transformative for our operations.,Mobile App,Enterprise
190,2025-05-02,C96073,7,Could use some improvements.,Mobile App,Enterprise
191,2025-05-15,C55566,3,Frequent issues and bugs.,Email,Consumer
192,2025-05-12,C16229,10,Outstanding support team.,Website,Enterprise
193,2025-04-25,C88234,10,Very satisfied with the experience.,Email,Consumer
194,2025-05-15,C35994,1,Not worth the price.,Support,SMB
195,2025-05-28,C54236,1,Needs significant improvement.,Website,Consumer
196,2025-04-24,C91265,1,Needs significant improvement.,Mobile App,Consumer
197,2025-05-11,C30781,2,Would not recommend.,Email,SMB
198,2025-05-15,C50866,6,Satisfactory service.,Mobile App,Enterprise
199,2025-04-10,C87944,9,Exceeded our expectations.,Email,Consumer
200,2025-05-12,C34618,10,Very intuitive interface.,Support,Consumer
201,2025-04-19,C27217,3,Not intuitive enough.,Support,Enterprise
202,2025-04-05,C27787,9,Best in class solution!,Website,Consumer
203,2025-05-27,C33281,5,Satisfactory service.,Support,SMB
204,2025-04-18,C82477,9,Excellent ROI for our business.,Mobile App,Consumer
205,2025-04-19,C59082,8,Excellent ROI for our business.,Website,SMB
206,2025-05-06,C46461,1,Needs significant improvement.,Email,Consumer
207,2025-04-08,C17684,8,Very satisfied with the experience.,Email,SMB
208,2025-05-22,C22094,8,Exceeded our expectations.,Website,Enterprise
209,2025-05-29,C56989,8,Best in class solution!,Mobile App,Enterprise
210,2025-04-20,C63825,7,Works as expected.,Mobile App,Enterprise
211,2025-05-28,C98311,2,Disappointed with the service.,Mobile App,SMB
212,2025-04-28,C89803,3,Would not recommend.,Email,SMB
213,2025-04-26,C86561,7,Meets our basic needs.,Mobile App,Consumer
214,2025-05-03,C75161,6,Good but room for improvement.,Support,Enterprise
215,2025-05-20,C73631,8,Highly recommended!,Email,Consumer
216,2025-04-12,C32086,2,Too expensive for what it offers.,Website,SMB
217,2025-05-23,C92836,6,Some features could be better.,Mobile App,Enterprise
218,2025-04-08,C35192,9,Excellent product and service!,Mobile App,Enterprise
219,2025-05-08,C53497,8,Great value for money.,Email,Consumer
220,2025-05-27,C94760,8,Excellent ROI for our business.,Email,Enterprise
221,2025-05-04,C26452,2,Poor customer support.,Website,SMB
222,2025-04-06,C64535,2,Not worth the price.,Support,Consumer
223,2025-04-24,C35800,2,Disappointed with the service.,Website,Enterprise
224,2025-05-29,C83861,1,Frequent issues and bugs.,Support,SMB
225,2025-04-05,C87441,2,Too many problems.,Support,Enterprise
226,2025-05-29,C38529,7,Could use some improvements.,Website,Consumer
227,2025-05-05,C14098,4,Frequent issues and bugs.,Mobile App,SMB
228,2025-05-04,C43210,8,Highly recommended!,Email,SMB
229,2025-05-02,C76865,7,Good product overall.,Website,SMB
230,2025-04-15,C72891,8,Best in class solution!,Website,SMB
231,2025-05-29,C51759,4,Frequent issues and bugs.,Email,SMB
232,2025-05-06,C85692,2,Not intuitive enough.,Support,Enterprise
233,2025-05-13,C83405,10,Highly recommended!,Mobile App,Enterprise
234,2025-05-10,C29527,9,Exceeded our expectations.,Email,SMB
235,2025-05-04,C45184,6,Meets our basic needs.,Mobile App,Enterprise
236,2025-05-24,C30853,3,Disappointed with the service.,Support,Enterprise
237,2025-05-28,C20250,8,Excellent product and service!,Mobile App,SMB
238,2025-05-16,C67757,4,Frequent issues and bugs.,Email,Consumer
239,2025-04-19,C62822,3,Frequent issues and bugs.,Support,SMB
240,2025-04-05,C75713,10,Transformative for our operations.,Mobile App,Consumer
241,2025-04-16,C98947,7,Works as expected.,Mobile App,Enterprise
242,2025-05-21,C95861,10,Very intuitive interface.,Website,Enterprise
243,2025-04-18,C99193,1,Poor customer support.,Mobile App,Enterprise
244,2025-05-17,C23457,3,Difficult to use.,Email,SMB
245,2025-05-12,C19151,10,Very intuitive interface.,Support,Enterprise
246,2025-04-19,C59948,5,Good product overall.,Support,SMB
247,2025-04-15,C20375,3,Frequent issues and bugs.,Mobile App,Enterprise
248,2025-04-29,C12710,3,Difficult to use.,Email,SMB
249,2025-05-03,C95195,7,Could use some improvements.,Mobile App,Consumer
250,2025-05-15,C17773,3,Disappointed with the service.,Support,Enterprise
251,2025-05-06,C61164,3,Not intuitive enough.,Support,SMB
252,2025-05-19,C69413,2,Frequent issues and bugs.,Website,Enterprise
253,2025-05-24,C53580,7,Satisfactory service.,Support,Enterprise
254,2025-05-29,C60647,9,Very satisfied with the experience.,Support,SMB
255,2025-04-27,C52997,6,Generally satisfied.,Website,Consumer
256,2025-05-06,C65705,1,Too many problems.,Website,Consumer
257,2025-05-24,C95217,2,Not intuitive enough.,Mobile App,Consumer
258,2025-05-28,C56999,10,Outstanding support team.,Email,Enterprise
259,2025-04-23,C39439,5,Generally satisfied.,Website,SMB
260,2025-04-03,C42864,7,Generally satisfied.,Mobile App,Enterprise
261,2025-05-01,C68887,3,Would not recommend.,Website,SMB
262,2025-04-26,C71618,3,Too expensive for what it offers.,Website,Consumer
263,2025-05-11,C44239,8,Excellent product and service!,Website,Enterprise
264,2025-04-24,C22285,10,Exceeded our expectations.,Website,Enterprise
265,2025-05-09,C98173,1,Not worth the price.,Mobile App,Consumer
266,2025-04-11,C55973,5,Could use some improvements.,Email,Consumer
267,2025-04-25,C25358,10,Very intuitive interface.,Website,SMB
268,2025-05-07,C88962,8,Exceeded our expectations.,Email,Enterprise
269,2025-04-16,C77285,6,Generally satisfied.,Website,Enterprise
270,2025-04-29,C59499,4,Poor customer support.,Mobile App,Enterprise
271,2025-04-18,C18728,5,Works as expected.,Support,Enterprise
272,2025-04-07,C60633,6,Satisfactory service.,Website,Consumer
273,2025-05-10,C44505,2,Not intuitive enough.,Support,Consumer
274,2025-04-08,C22660,7,Decent performance.,Email,SMB
275,2025-04-14,C38376,9,Excellent product and service!,Email,Enterprise
276,2025-04-08,C29564,2,Disappointed with the service.,Mobile App,Consumer
277,2025-04-26,C46476,9,Outstanding support team.,Website,Enterprise
278,2025-05-20,C45600,8,Very satisfied with the experience.,Website,Enterprise
279,2025-05-20,C74314,10,Highly recommended!,Mobile App,Enterprise
280,2025-04-10,C58707,7,Works as expected.,Email,Enterprise
281,2025-05-05,C50044,8,Great value for money.,Email,SMB
282,2025-05-14,C61528,6,Could use some improvements.,Mobile App,SMB
283,2025-04-14,C52559,6,Good product overall.,Email,Enterprise
284,2025-05-15,C58622,1,Not intuitive enough.,Support,SMB
285,2025-05-22,C67610,6,Generally satisfied.,Support,SMB
286,2025-05-08,C40008,6,Good but room for improvement.,Mobile App,Enterprise
287,2025-04-01,C46902,4,Poor customer support.,Website,Consumer
288,2025-04-28,C69513,5,Good but room for improvement.,Email,SMB
289,2025-04-01,C23773,3,Would not recommend.,Mobile App,SMB
290,2025-05-12,C89686,6,Decent performance.,Website,Consumer
291,2025-05-21,C81544,8,Very intuitive interface.,Email,SMB
292,2025-05-31,C26046,1,Not worth the price.,Support,Enterprise
293,2025-05-20,C39512,1,Poor customer support.,Support,Enterprise
294,2025-04-19,C15142,8,Very satisfied with the experience.,Support,Enterprise
295,2025-05-18,C26830,2,Frequent issues and bugs.,Support,SMB
296,2025-04-29,C73081,5,Generally satisfied.,Email,SMB
297,2025-04-21,C71892,7,Average experience.,Email,Consumer
298,2025-04-23,C56152,1,Needs significant improvement.,Website,SMB
299,2025-04-10,C11629,7,Could use some improvements.,Website,Enterprise
300,2025-04-08,C10906,4,Too expensive for what it offers.,Website,Consumer
301,2025-04-14,C90605,2,Difficult to use.,Mobile App,Enterprise
302,2025-04-19,C76396,2,Poor customer support.,Email,Consumer
303,2025-05-20,C62498,4,Disappointed with the service.,Mobile App,SMB
304,2025-04-08,C98913,10,Very satisfied with the experience.,Email,Enterprise
305,2025-04-01,C84010,8,Transformative for our operations.,Email,SMB
306,2025-05-08,C58932,1,Frequent issues and bugs.,Support,Enterprise
307,2025-05-13,C28771,4,Too expensive for what it offers.,Support,Enterprise
308,2025-04-18,C27806,10,Transformative for our operations.,Support,SMB
309,2025-05-15,C32521,7,Works as expected.,Mobile App,Consumer
310,2025-05-29,C27111,5,Some features could be better.,Support,Enterprise
311,2025-05-01,C83828,3,Disappointed with the service.,Email,SMB
312,2025-05-04,C85187,9,Exceeded our expectations.,Email,Consumer
313,2025-04-01,C22390,4,Would not recommend.,Support,Enterprise
314,2025-05-06,C75066,6,Good product overall.,Website,Consumer
315,2025-04-26,C59695,10,Exceeded our expectations.,Email,SMB
316,2025-04-27,C85304,6,Satisfactory service.,Mobile App,Enterprise
317,2025-04-06,C62274,7,Decent performance.,Mobile App,Consumer
318,2025-04-23,C13512,5,Decent performance.,Website,Enterprise
319,2025-05-02,C87866,4,Needs significant improvement.,Website,Enterprise
320,2025-04-25,C50168,8,Transformative for our operations.,Support,SMB
321,2025-05-20,C89987,3,Would not recommend.,Support,SMB
322,2025-05-21,C24485,4,Too many problems.,Support,Enterprise
323,2025-05-16,C40779,2,Needs significant improvement.,Website,Enterprise
324,2025-04-01,C99363,7,Good product overall.,Email,SMB
325,2025-04-05,C24245,2,Disappointed with the service.,Website,Enterprise
326,2025-05-20,C21230,1,Needs significant improvement.,Email,Consumer
327,2025-05-15,C47293,9,Great value for money.,Support,SMB
328,2025-05-03,C70581,2,Frequent issues and bugs.,Support,Enterprise
329,2025-05-21,C92483,8,Excellent product and service!,Email,SMB
330,2025-05-26,C13158,2,Poor customer support.,Mobile App,SMB
331,2025-05-21,C62491,6,Could use some improvements.,Mobile App,Consumer
332,2025-05-01,C80636,9,Very satisfied with the experience.,Email,SMB
333,2025-04-04,C82107,9,Excellent product and service!,Mobile App,Enterprise
334,2025-04-03,C31779,1,Too many problems.,Website,Enterprise
335,2025-05-15,C36722,1,Too expensive for what it offers.,Support,SMB
336,2025-05-01,C12581,2,Poor customer support.,Support,SMB
337,2025-04-21,C24662,7,Some features could be better.,Website,SMB
338,2025-04-29,C81759,9,Excellent product and service!,Support,Enterprise
339,2025-05-25,C72366,10,Very intuitive interface.,Mobile App,Consumer
340,2025-04-04,C16641,9,Excellent product and service!,Support,Enterprise
341,2025-05-20,C99832,5,Generally satisfied.,Email,Consumer
342,2025-04-05,C52806,3,Would not recommend.,Website,Consumer
343,2025-05-27,C10711,7,Meets our basic needs.,Website,Consumer
344,2025-05-02,C99190,5,Average experience.,Mobile App,Consumer
345,2025-05-08,C31007,3,Needs significant improvement.,Support,Enterprise
346,2025-04-10,C98222,5,Good product overall.,Website,SMB
347,2025-04-17,C21056,6,Satisfactory service.,Email,Enterprise
348,2025-04-29,C32455,4,Frequent issues and bugs.,Support,Enterprise
349,2025-04-20,C66959,7,Good product overall.,Website,Enterprise
350,2025-04-30,C70399,9,Great value for money.,Email,SMB
351,2025-05-12,C56505,6,Average experience.,Email,Enterprise
352,2025-04-09,C33613,9,Exceeded our expectations.,Email,Consumer
353,2025-05-26,C55805,3,Not intuitive enough.,Mobile App,SMB
354,2025-05-23,C72516,6,Decent performance.,Support,Enterprise
355,2025-04-19,C43754,7,Generally satisfied.,Email,SMB
356,2025-04-30,C68443,3,Too many problems.,Mobile App,SMB
357,2025-04-11,C62075,7,Generally satisfied.,Mobile App,Enterprise
358,2025-04-28,C53332,5,Generally satisfied.,Support,Consumer
359,2025-04-25,C69247,10,Excellent ROI for our business.,Website,Enterprise
360,2025-05-31,C75237,5,Works as expected.,Mobile App,Enterprise
361,2025-04-19,C78474,2,Too expensive for what it offers.,Email,SMB
362,2025-04-15,C24991,8,Best in class solution!,Mobile App,Consumer
363,2025-04-29,C75528,4,Frequent issues and bugs.,Mobile App,SMB
364,2025-05-02,C92317,10,Great value for money.,Email,SMB
365,2025-04-22,C55800,9,Outstanding support team.,Website,SMB
366,2025-05-17,C27606,1,Needs significant improvement.,Mobile App,Enterprise
367,2025-04-05,C68383,6,Generally satisfied.,Mobile App,SMB
368,2025-05-15,C67882,1,Not worth the price.,Website,Consumer
369,2025-05-07,C14092,10,Transformative for our operations.,Website,Consumer
370,2025-05-12,C13891,6,Meets our basic needs.,Support,Consumer
371,2025-04-04,C93507,5,Satisfactory service.,Website,Consumer
372,2025-04-09,C53678,5,Good but room for improvement.,Email,Enterprise
373,2025-04-15,C60834,8,Excellent ROI for our business.,Mobile App,Enterprise
374,2025-04-07,C89897,3,Would not recommend.,Email,SMB
375,2025-05-10,C36497,5,Some features could be better.,Support,Enterprise
376,2025-05-14,C29004,9,Transformative for our operations.,Website,Enterprise
377,2025-04-19,C81000,7,Good but room for improvement.,Website,Enterprise
378,2025-05-03,C32297,1,Needs significant improvement.,Website,SMB
379,2025-05-03,C92267,5,Average experience.,Website,SMB
380,2025-05-03,C23885,9,Highly recommended!,Website,Consumer
381,2025-04-17,C97536,3,Poor customer support.,Mobile App,SMB
382,2025-05-05,C54998,4,Not intuitive enough.,Support,SMB
383,2025-05-23,C20695,10,Highly recommended!,Mobile App,Consumer
384,2025-04-09,C10069,1,Too expensive for what it offers.,Email,SMB
385,2025-05-28,C76043,7,Decent performance.,Support,SMB
386,2025-05-17,C31524,1,Frequent issues and bugs.,Mobile App,SMB
387,2025-04-02,C80279,7,Could use some improvements.,Website,SMB
388,2025-04-21,C97814,1,Not worth the price.,Email,SMB
389,2025-05-03,C26149,10,Highly recommended!,Mobile App,SMB
390,2025-05-27,C72128,3,Not worth the price.,Email,SMB
391,2025-04-04,C92922,7,Could use some improvements.,Website,SMB
392,2025-04-17,C65933,1,Disappointed with the service.,Support,Enterprise
393,2025-04-16,C45073,3,Disappointed with the service.,Website,Consumer
394,2025-04-27,C34110,10,Best in class solution!,Email,Consumer
395,2025-04-23,C67799,1,Not intuitive enough.,Website,Consumer
396,2025-05-30,C37999,4,Too expensive for what it offers.,Email,Enterprise
397,2025-05-16,C32979,1,Not worth the price.,Support,Consumer
398,2025-05-04,C30487,9,Excellent product and service!,Email,SMB
399,2025-05-05,C77884,1,Difficult to use.,Email,Enterprise
400,2025-05-26,C65572,10,Best in class solution!,Support,Enterprise
401,2025-04-14,C96412,2,Frequent issues and bugs.,Support,Enterprise
402,2025-04-22,C71225,5,Good but room for improvement.,Mobile App,Consumer
403,2025-04-08,C22346,7,Satisfactory service.,Support,SMB
404,2025-05-01,C53877,3,Not worth the price.,Support,Consumer
405,2025-05-29,C62558,4,Too expensive for what it offers.,Support,Enterprise
406,2025-05-21,C72783,6,Satisfactory service.,Email,SMB
407,2025-05-20,C65208,8,Outstanding support team.,Email,Consumer
408,2025-04-02,C37953,5,Average experience.,Support,SMB
409,2025-05-08,C45666,4,Difficult to use.,Website,SMB
410,2025-05-31,C98221,9,Exceeded our expectations.,Email,Enterprise
411,2025-04-10,C75113,4,Too many problems.,Support,SMB
412,2025-04-26,C77796,6,Good but room for improvement.,Support,Enterprise
413,2025-04-19,C19020,8,Very intuitive interface.,Website,Consumer
414,2025-05-15,C43168,6,Satisfactory service.,Support,Consumer
415,2025-04-19,C38312,4,Not worth the price.,Website,SMB
416,2025-04-21,C19943,7,Decent performance.,Email,Consumer
417,2025-04-26,C96246,6,Average experience.,Mobile App,Consumer
418,2025-05-17,C52260,5,Satisfactory service.,Support,SMB
419,2025-04-29,C51906,7,Generally satisfied.,Website,Consumer
420,2025-05-29,C48400,5,Meets our basic needs.,Mobile App,Consumer
421,2025-04-02,C22745,2,Frequent issues and bugs.,Website,Consumer
422,2025-05-11,C17630,10,Outstanding support team.,Mobile App,SMB
423,2025-05-20,C95813,9,Best in class solution!,Website,Enterprise
424,2025-05-03,C41397,3,Too expensive for what it offers.,Support,Consumer
