response_id,date,customer_id,score,interaction_type,agent_id,resolution_status,feedback
26,2025-04-13,C26424,1,"Billing Question",A1026,"Unresolved","Still have billing issues"
27,2025-04-13,C27525,4,"Product Information",A1027,"Resolved","Good overview of features"
28,2025-04-13,C28626,5,"Account Issue",A1028,"Resolved","Quick account verification"
29,2025-04-14,C29727,3,"Technical Support",A1029,"Resolved","Solution works but complicated"
30,2025-04-14,C30828,5,"Billing Question",A1030,"Resolved","Excellent clarification"
31,2025-04-14,C31929,4,"Product Information",A1031,"Resolved","Good comparison of options"
32,2025-04-14,C32030,2,"Account Issue",A1032,"Unresolved","Still having access problems"
33,2025-04-15,C33131,5,"Technical Support",A1033,"Resolved","Great technical knowledge"
34,2025-04-15,C34232,3,"Billing Question",A1034,"Resolved","Adequate explanation"
35,2025-04-15,C35333,5,"Product Information",A1035,"Resolved","Very detailed information"
36,2025-04-15,C36434,4,"Account Issue",A1036,"Resolved","Good service overall"
37,2025-04-16,C37535,2,"Technical Support",A1037,"Unresolved","Problem not fixed properly"
38,2025-04-16,C38636,5,"Billing Question",A1038,"Resolved","Perfect explanation of charges"
39,2025-04-16,C39737,4,"Product Information",A1039,"Resolved","Good product knowledge"
40,2025-04-16,C40838,3,"Account Issue",A1040,"Resolved","Average service experience"
41,2025-04-17,C41939,5,"Technical Support",A1041,"Resolved","Excellent troubleshooting"
42,2025-04-17,C42040,1,"Billing Question",A1042,"Unresolved","Completely unhelpful"
43,2025-04-17,C43141,4,"Product Information",A1043,"Resolved","Good feature explanation"
44,2025-04-17,C44242,5,"Account Issue",A1044,"Resolved","Very efficient service"
45,2025-04-18,C45343,3,"Technical Support",A1045,"Resolved","Problem fixed but slow"
46,2025-04-18,C46444,5,"Billing Question",A1046,"Resolved","Clear and concise explanation"
47,2025-04-18,C47545,4,"Product Information",A1047,"Resolved","Good product details"
48,2025-04-18,C48646,2,"Account Issue",A1048,"Unresolved","Still having login issues"
49,2025-04-19,C49747,5,"Technical Support",A1049,"Resolved","Outstanding technical support"
50,2025-04-19,C50848,3,"Billing Question",A1050,"Resolved","Satisfactory explanation"
51,2025-04-19,C51949,5,"Product Information",A1051,"Resolved","Very helpful comparison"
52,2025-04-19,C52050,4,"Account Issue",A1052,"Resolved","Good account assistance"
53,2025-04-20,C53151,2,"Technical Support",A1053,"Unresolved","Issue remains unresolved"
54,2025-04-20,C54252,5,"Billing Question",A1054,"Resolved","Excellent billing support"
55,2025-04-20,C55353,4,"Product Information",A1055,"Resolved","Good product knowledge"
56,2025-04-20,C56454,3,"Account Issue",A1056,"Resolved","Average service quality"
57,2025-04-21,C57555,5,"Technical Support",A1057,"Resolved","Expert technical assistance"
58,2025-04-21,C58656,1,"Billing Question",A1058,"Unresolved","Completely incorrect information"
59,2025-04-21,C59757,4,"Product Information",A1059,"Resolved","Good feature explanation"
60,2025-04-21,C60858,5,"Account Issue",A1060,"Resolved","Fast and efficient service"
61,2025-04-22,C61959,3,"Technical Support",A1061,"Resolved","Problem solved but took time"
62,2025-04-22,C62060,5,"Billing Question",A1062,"Resolved","Very clear explanation"
63,2025-04-22,C63161,4,"Product Information",A1063,"Resolved","Good product comparison"
64,2025-04-22,C64262,2,"Account Issue",A1064,"Unresolved","Access issues continue"
65,2025-04-23,C65363,5,"Technical Support",A1065,"Resolved","Excellent technical knowledge"
66,2025-04-23,C66464,3,"Billing Question",A1066,"Resolved","Adequate billing assistance"
67,2025-04-23,C67565,5,"Product Information",A1067,"Resolved","Very informative overview"
68,2025-04-23,C68666,4,"Account Issue",A1068,"Resolved","Good account support"
69,2025-04-24,C69767,2,"Technical Support",A1069,"Unresolved","Problem remains unfixed"
70,2025-04-24,C70868,5,"Billing Question",A1070,"Resolved","Excellent clarification"
71,2025-04-24,C71969,4,"Product Information",A1071,"Resolved","Good product details"
72,2025-04-24,C72070,3,"Account Issue",A1072,"Resolved","Average service level"
73,2025-04-25,C73171,5,"Technical Support",A1073,"Resolved","Outstanding support"
74,2025-04-25,C74272,1,"Billing Question",A1074,"Unresolved","Completely unhelpful"
75,2025-04-25,C75373,4,"Product Information",A1075,"Resolved","Good product overview"
76,2025-04-25,C76474,5,"Account Issue",A1076,"Resolved","Excellent account service"
77,2025-04-26,C77575,3,"Technical Support",A1077,"Resolved","Problem fixed but complicated"
78,2025-04-26,C78676,5,"Billing Question",A1078,"Resolved","Very thorough explanation"
79,2025-04-26,C79777,4,"Product Information",A1079,"Resolved","Good feature details"
80,2025-04-26,C80878,2,"Account Issue",A1080,"Unresolved","Still having account issues"
81,2025-04-27,C81979,5,"Technical Support",A1081,"Resolved","Exceptional technical help"
82,2025-04-27,C82080,3,"Billing Question",A1082,"Resolved","Adequate billing assistance"
83,2025-04-27,C83181,5,"Product Information",A1083,"Resolved","Very informative"
84,2025-04-27,C84282,4,"Account Issue",A1084,"Resolved","Good service overall"
85,2025-04-28,C85383,2,"Technical Support",A1085,"Unresolved","Problem not fixed"
86,2025-04-28,C86484,5,"Billing Question",A1086,"Resolved","Excellent clarification"
87,2025-04-28,C87585,4,"Product Information",A1087,"Resolved","Good product knowledge"
88,2025-04-28,C88686,3,"Account Issue",A1088,"Resolved","Average service experience"
89,2025-04-29,C89787,5,"Technical Support",A1089,"Resolved","Outstanding troubleshooting"
90,2025-04-29,C90888,1,"Billing Question",A1090,"Unresolved","Completely unhelpful"
91,2025-04-29,C91989,4,"Product Information",A1091,"Resolved","Good feature explanation"
92,2025-04-29,C92090,5,"Account Issue",A1092,"Resolved","Fast and efficient service"
93,2025-04-30,C93191,3,"Technical Support",A1093,"Resolved","Problem resolved eventually"
94,2025-04-30,C94292,5,"Billing Question",A1094,"Resolved","Clear billing explanation"
95,2025-04-30,C95393,4,"Product Information",A1095,"Resolved","Good product comparison"
96,2025-04-30,C96494,2,"Account Issue",A1096,"Unresolved","Issue remains unresolved"
97,2025-05-01,C97595,5,"Technical Support",A1097,"Resolved","Excellent technical expertise"
98,2025-05-01,C98696,3,"Billing Question",A1098,"Resolved","Satisfactory explanation"
99,2025-05-01,C99797,5,"Product Information",A1099,"Resolved","Very helpful information"
100,2025-05-01,C10089,4,"Account Issue",A1100,"Resolved","Good account assistance"
